Fecha,Hora,Producto,ISIN,Bolsa de referencia,Centro de ejecución,Número,Precio,,Valor local,,Valor EUR,Tipo de cambio,Comisión AutoFX,Costes de transacción y/o externos EUR,Total EUR,ID Orden
17-07-2024,07:52,ACS ACTIVIDADES DE CO-RIGHTS - NON TRADEABLE,ES06670509P5,DEG,,-7,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
04-07-2024,00:00,ACS ACTIVIDADES DE CO-RIGHTS,ES06670509P5,MAD,,-7,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
04-07-2024,00:00,ACS ACTIVIDADES DE CO-RIGHTS - NON TRADEABLE,ES06670509P5,DEG,,7,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
02-07-2024,00:00,ACS ACTIVIDADES DE CO-RIGHTS,ES06670509P5,MAD,,57,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
26-06-2024,15:30,STARBUCKS CORP,US8552441094,NDQ,XNAS,13,"79,0000",USD,"-1027,00",USD,"-962,52","1,0670","-2,41","-2,00","-966,92",499314fd-b499-4a29-b178-25d4ea552f62
24-06-2024,08:09,VISCOFAN SA - RTS - NON TRADEABLE,ES0684262910,DEG,,-9,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
10-06-2024,17:57,KRAFT HEINZ CO,US5007541064,NDQ,CDED,23,"33,4700",USD,"-769,81",USD,"-716,17","1,0749","-1,79","-2,00","-719,96",abc7293c-1733-495f-8b21-78fb77b08758
28-05-2024,00:00,VISCOFAN SA - RTS,ES0684262910,MAD,,-9,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
28-05-2024,00:00,VISCOFAN SA - RTS - NON TRADEABLE,ES0684262910,DEG,,9,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
28-05-2024,00:00,VISCOFAN SA - RTS,ES0684262910,MAD,,9,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
15-05-2024,15:30,CVS HEALTH CORPORATION,US1266501006,NSY,XNYS,15,"56,2100",USD,"-843,15",USD,"-776,67","1,0856","-1,94","-2,00","-780,61",69e0dc92-1362-477a-a535-9aa3cafeb075
29-04-2024,21:22,JOHNSON & JOHNSON,US4781601046,NSY,CDED,5,"146,3650",USD,"-731,82",USD,"-682,74","1,0719","-1,71","-2,00","-686,45",04cc7e20-fc40-4a98-931a-8aa9fb0139cc
16-04-2024,15:30,SOLVENTUM CORPORATION,US83444M1018,NSY,XNYS,-3,"62,0000",USD,"186,00",USD,"174,93","1,0633","-0,44","-2,00","172,49",616fcdc2-7465-48a4-92df-ec478d50541e
03-04-2024,09:00,MONDI PLC,GB00BMWC6P49,LSE,XLON,46,"1376,5000",GBX,"-63319,00",GBX,"-739,36","85,6399","-1,85","-4,90","-746,11",e77dc536-db0a-4bf6-9358-8fe569bd1b68
01-04-2024,00:00,SOLVENTUM CORPORATION,US83444M1018,NSY,,3,"0,0000",USD,"0,00",USD,"0,00","1,0866","0,00",,"0,00",
19-03-2024,14:30,KRAFT HEINZ CO,US5007541064,NDQ,XNAS,22,"34,8500",USD,"-766,70",USD,"-706,45","1,0853","-1,77","-2,00","-710,21",b320e597-6add-41bd-b4e3-54c0e9ffd11a
22-02-2024,12:56,COLONIAL SFL SOCIMI SA,ES0139140174,MAD,MESI,125,"5,1800",EUR,"-647,50",EUR,"-647,50",,"0,00","-2,00","-649,50",a6137cef-26a5-4680-9a50-dd3923b45fa3
06-02-2024,09:15,ACS ACTIVIDADES DE CONS-RTS - NON TRADEABLE,ES06670509O8,DEG,,-57,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
02-02-2024,15:30,KRAFT HEINZ CO,US5007541064,NDQ,XNAS,26,"37,7500",USD,"-981,50",USD,"-908,80","1,0800","-2,27","-2,00","-913,07",eeb4f1ef-a659-414e-bc95-a18f8ea0f0c1
23-01-2024,00:00,ACS ACTIVIDADES DE CONS-RTS - NON TRADEABLE,ES06670509O8,DEG,,57,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
23-01-2024,00:00,ACS ACTIVIDADES DE CONS-RTS,ES06670509O8,MAD,,-57,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
19-01-2024,00:00,ACS ACTIVIDADES DE CONS-RTS,ES06670509O8,MAD,,57,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
28-12-2023,11:49,VISCOFAN SA,ES0184262212,MAD,MESI,9,"54,5000",EUR,"-490,50",EUR,"-490,50",,"0,00","-2,00","-492,50",8af53dd5-a141-4e95-b314-45ab7b9f4d1b
19-12-2023,16:00,BRITISH AMERICAN TOBACCO P.L.C,GB0002875804,LSE,MESI,18,"2322,0000",GBX,"-41796,00",GBX,"-485,10","86,1594","-1,21","-4,90","-491,21",7c4cbd1b-055c-4d5b-9496-2b78c50b5e58
03-11-2023,00:00,VIDRALA SA-RTS,ES06837469B2,MAD,,-14,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
19-10-2023,09:21,VIDRALA SA-RTS,ES06837469B2,MAD,,14,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
19-10-2023,09:21,VIDRALA - NON TRADEABLE,ES06837469B2,DEG,,-14,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
19-10-2023,00:00,VIDRALA - NON TRADEABLE,ES06837469B2,DEG,,14,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
08-08-2023,15:30,REALTY INCOME CORPORATION,US7561091049,NSY,XNYS,18,"59,6300",USD,"-1073,34",USD,"-980,40","1,0948","-2,45","-2,00","-984,86",4ef7bd02-be0b-461a-acf3-8ef247fcb1d6
26-07-2023,00:00,ACS ACTIVIDADES DE CO-RIGHTS,ES06670509N0,MAD,,-60,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
26-07-2023,00:00,ACS ACTIVIDADES DE CONSTRUCCION Y SERVICIOS SA,ES0167050915,MAD,,3,"0,0000",EUR,"0,00",EUR,"0,00",,"0,00",,"0,00",
25-07-2023,15:30,"T. ROWE PRICE GROUP, INC.",US74144T1088,NDQ,XNAS,5,"120,5400",USD,"-602,70",USD,"-546,57","1,1027","-1,37","-2,00","-549,94",b7bb45a5-4bb0-4544-8711-3302c3ee34a5
25-07-2023,09:01,KLEPIERRE SA,FR0000121964,TDG,XGAT,-36,"24,0200",EUR,"864,72",EUR,"864,72",,"0,00","-3,90","860,82",0dca7b06-379c-445a-a9bc-3317e4c9af55
